# /Users/anisiva/Developer/WorldModel/.venv/bin/python -m infra.remote --module wm.train --gpu -- --scale full --data-frac 1.0 --tag ablation100 --steps 6000 --max-seconds 2700
✓ Initialized. View run at 
https://modal.com/apps/ani-sivaa/main/ap-1d033OfaVCPzfoiF67hRhU
✓ Created objects.
├── 🔨 Created mount PythonPackage:infra
├── 🔨 Created mount /Users/anisiva/Developer/WorldModel
├── 🔨 Created function run_module_gpu.
├── 🔨 Created function run_module_cpu.
└── 🔨 Created function vol_read.
[wm.train] tag=ablation100 dev=cuda steps=6000 batch=128 T=1000000 train_end=950022 v2=False frac=1.0
/root/wm/train.py:137: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:822.)
  log["loss"].append(float(total))
  step 1/6000 k=1 loss=0.82361 frame=0.82361 rew=0.00000 done=0.00000 2s
  step 100/6000 k=1 loss=0.01775 frame=0.01775 rew=0.00000 done=0.00000 9s
  step 200/6000 k=1 loss=0.00689 frame=0.00689 rew=0.00000 done=0.00000 15s
  step 300/6000 k=1 loss=0.00530 frame=0.00530 rew=0.00000 done=0.00000 23s
  step 400/6000 k=1 loss=0.00491 frame=0.00491 rew=0.00000 done=0.00000 31s
  step 500/6000 k=1 loss=0.00503 frame=0.00503 rew=0.00000 done=0.00000 38s
  step 600/6000 k=1 loss=0.00445 frame=0.00445 rew=0.00000 done=0.00000 45s
  step 700/6000 k=1 loss=0.00399 frame=0.00399 rew=0.00000 done=0.00000 50s
  step 800/6000 k=1 loss=0.00382 frame=0.00382 rew=0.00000 done=0.00000 56s
  step 900/6000 k=1 loss=0.00340 frame=0.00340 rew=0.00000 done=0.00000 61s
  step 1000/6000 k=1 loss=0.00231 frame=0.00231 rew=0.00000 done=0.00000 67s
  [ckpt] step 1000 val_frame=0.00859 -> /vol/checkpoints/ablation100.pt
  step 1100/6000 k=1 loss=0.00272 frame=0.00272 rew=0.00000 done=0.00000 72s
  step 1200/6000 k=1 loss=0.00254 frame=0.00254 rew=0.00000 done=0.00000 77s
  step 1300/6000 k=1 loss=0.00214 frame=0.00214 rew=0.00000 done=0.00000 83s
  step 1400/6000 k=1 loss=0.00221 frame=0.00221 rew=0.00000 done=0.00000 88s
  step 1500/6000 k=1 loss=0.00162 frame=0.00162 rew=0.00000 done=0.00000 94s
  step 1600/6000 k=1 loss=0.00220 frame=0.00220 rew=0.00000 done=0.00000 99s
  step 1700/6000 k=1 loss=0.00145 frame=0.00145 rew=0.00000 done=0.00000 104s
  step 1800/6000 k=1 loss=0.00172 frame=0.00172 rew=0.00000 done=0.00000 109s
  step 1900/6000 k=1 loss=0.00188 frame=0.00188 rew=0.00000 done=0.00000 114s
  step 2000/6000 k=1 loss=0.00196 frame=0.00196 rew=0.00000 done=0.00000 119s
  [ckpt] step 2000 val_frame=0.00557 -> /vol/checkpoints/ablation100.pt
  step 2100/6000 k=1 loss=0.00164 frame=0.00164 rew=0.00000 done=0.00000 124s
  step 2200/6000 k=5 loss=0.00397 frame=0.00397 rew=0.00000 done=0.00000 142s
  step 2300/6000 k=5 loss=0.00292 frame=0.00292 rew=0.00000 done=0.00000 160s
  step 2400/6000 k=5 loss=0.00293 frame=0.00293 rew=0.00000 done=0.00000 178s
  step 2500/6000 k=5 loss=0.00260 frame=0.00260 rew=0.00000 done=0.00000 196s
  step 2600/6000 k=5 loss=0.00248 frame=0.00248 rew=0.00000 done=0.00000 214s
  step 2700/6000 k=5 loss=0.00264 frame=0.00264 rew=0.00000 done=0.00000 232s
  step 2800/6000 k=5 loss=0.00231 frame=0.00231 rew=0.00000 done=0.00000 250s
  step 2900/6000 k=5 loss=0.00217 frame=0.00217 rew=0.00000 done=0.00000 267s
  step 3000/6000 k=5 loss=0.00220 frame=0.00220 rew=0.00000 done=0.00000 285s
  [ckpt] step 3000 val_frame=0.00198 -> /vol/checkpoints/ablation100.pt
  step 3100/6000 k=5 loss=0.00225 frame=0.00225 rew=0.00000 done=0.00000 303s
  step 3200/6000 k=5 loss=0.00198 frame=0.00198 rew=0.00000 done=0.00000 321s
  step 3300/6000 k=5 loss=0.00164 frame=0.00164 rew=0.00000 done=0.00000 338s
  step 3400/6000 k=5 loss=0.00215 frame=0.00215 rew=0.00000 done=0.00000 357s
  step 3500/6000 k=5 loss=0.00215 frame=0.00215 rew=0.00000 done=0.00000 374s
  step 3600/6000 k=5 loss=0.00168 frame=0.00168 rew=0.00000 done=0.00000 392s
  step 3700/6000 k=5 loss=0.00206 frame=0.00206 rew=0.00000 done=0.00000 410s
  step 3800/6000 k=5 loss=0.00190 frame=0.00190 rew=0.00000 done=0.00000 429s
